season,episode,baker,result
5,1,Nancy,Star Baker
5,2,Richard,Star Baker
5,3,Luis,Star Baker
5,4,Richard,Star Baker
5,5,Kate,Star Baker
5,6,Chetna,Star Baker
5,7,Richard,Star Baker
5,8,Richard,Star Baker
5,9,Richard,Star Baker
5,10,Nancy,Winner
6,1,Marie,Star Baker
6,5,Nadiya,Star Baker
6,6,Mat,Star Baker
6,7,Tamal,Star Baker
6,8,Nadiya,Star Baker
6,9,Nadiya,Star Baker
6,10,Nadiya,Winner
7,1,Jane,Star Baker
7,2,Candice,Star Baker
7,3,Tom,Star Baker
7,4,Benjamina,Star Baker
7,5,Candice,Star Baker
7,6,Tom,Star Baker
7,7,Andrew,Star Baker
7,8,Candice,Star Baker
7,9,Andrew,Star Baker
7,10,Candice,Winner
8,1,Steven,Star Baker
8,2,Steven,Star Baker
8,3,Julia,Star Baker
8,5,Sophie,Star Baker
8,6,Liam,Star Baker
8,7,Steven,Star Baker
8,8,Stacey,Star Baker
8,9,Sophie,Star Baker
8,10,Sophie,Winner
