episode,season,viewership
1,1,2.24
1,2,3.1
1,3,3.85
1,4,6.6
1,5,8.51
1,6,11.62
1,7,13.58
1,8,9.46
1,9,9.55
1,10,9.62
2,1,3
2,2,3.53
2,3,4.6
2,4,6.65
2,5,8.79
2,6,11.59
2,7,13.45
2,8,9.23
2,9,9.31
2,10,9.38
3,1,3
3,2,3.82
3,3,4.53
3,4,7.17
3,5,9.28
3,6,12.01
3,7,13.01
3,8,8.68
3,9,8.91
3,10,8.94
4,1,2.6
4,2,3.6
4,3,4.71
4,4,6.82
4,5,10.25
4,6,12.36
4,7,13.29
4,8,8.55
4,9,8.88
4,10,8.96
5,1,3.03
5,2,3.83
5,3,4.61
5,4,6.95
5,5,9.95
5,6,12.39
5,7,13.12
5,8,8.61
5,9,8.67
5,10,9.26
6,1,2.75
6,2,4.25
6,3,4.82
6,4,7.32
6,5,10.13
6,6,12
6,7,13.13
6,8,8.61
6,9,8.91
6,10,8.7
7,1,NA
7,2,4.42
7,3,5.1
7,4,7.76
7,5,10.28
7,6,12.35
7,7,13.45
7,8,9.01
7,9,9.22
7,10,8.98
8,1,NA
8,2,5.06
8,3,5.35
8,4,7.41
8,5,9.023
8,6,11.09
8,7,13.26
8,8,8.95
8,9,9.69
8,10,9.19
9,1,NA
9,2,NA
9,3,5.7
9,4,7.41
9,5,10.67
9,6,12.65
9,7,13.44
9,8,9.03
9,9,9.5
9,10,9.34
10,1,NA
10,2,NA
10,3,6.74
10,4,9.45
10,5,13.51
10,6,15.05
10,7,15.9
10,8,10.04
10,9,10.34
10,10,10.05
